Entity,Code,date,population
World,OWID_WRL,1950-01-01,2000000
World,OWID_WRL,1951-01-01,2000000
World,OWID_WRL,1952-01-01,2000000
World,OWID_WRL,1953-01-01,3000000
World,OWID_WRL,1954-01-01,3000000
World,OWID_WRL,1955-01-01,4000000
World,OWID_WRL,1956-01-01,5000000
World,OWID_WRL,1957-01-01,5000000
World,OWID_WRL,1958-01-01,6000000
World,OWID_WRL,1959-01-01,7000000
World,OWID_WRL,1960-01-01,8000000
World,OWID_WRL,1961-01-01,9000000
World,OWID_WRL,1962-01-01,11000000
World,OWID_WRL,1963-01-01,13000000
World,OWID_WRL,1964-01-01,15000000
World,OWID_WRL,1965-01-01,17000000
World,OWID_WRL,1966-01-01,20000000
World,OWID_WRL,1967-01-01,23000000
World,OWID_WRL,1968-01-01,27000000
World,OWID_WRL,1969-01-01,32000000
World,OWID_WRL,1970-01-01,35000000
World,OWID_WRL,1971-01-01,38000000
World,OWID_WRL,1972-01-01,44000000
World,OWID_WRL,1973-01-01,51000000
World,OWID_WRL,1974-01-01,52000000
World,OWID_WRL,1975-01-01,46000000
World,OWID_WRL,1976-01-01,54000000
World,OWID_WRL,1977-01-01,59000000
World,OWID_WRL,1978-01-01,64000000
World,OWID_WRL,1979-01-01,71000000
World,OWID_WRL,1980-01-01,70000000
World,OWID_WRL,1981-01-01,72000000
World,OWID_WRL,1982-01-01,73000000
World,OWID_WRL,1983-01-01,80000000
World,OWID_WRL,1984-01-01,86000000
World,OWID_WRL,1985-01-01,90000000
World,OWID_WRL,1986-01-01,96000000
World,OWID_WRL,1987-01-01,104000000
World,OWID_WRL,1988-01-01,110000000
World,OWID_WRL,1989-01-01,114000000
World,OWID_WRL,1990-01-01,120000000
World,OWID_WRL,1991-01-01,124000000
World,OWID_WRL,1992-01-01,132000000
World,OWID_WRL,1993-01-01,137000000
World,OWID_WRL,1994-01-01,151000000
World,OWID_WRL,1995-01-01,156000000
World,OWID_WRL,1996-01-01,168000000
World,OWID_WRL,1997-01-01,180000000
World,OWID_WRL,1998-01-01,188000000
World,OWID_WRL,1999-01-01,202000000
World,OWID_WRL,2000-01-01,213000000
World,OWID_WRL,2001-01-01,218000000
World,OWID_WRL,2002-01-01,231000000
World,OWID_WRL,2003-01-01,241000000
World,OWID_WRL,2004-01-01,256000000
World,OWID_WRL,2005-01-01,263000000
World,OWID_WRL,2006-01-01,280000000
World,OWID_WRL,2007-01-01,295000000
World,OWID_WRL,2008-01-01,281000000
World,OWID_WRL,2009-01-01,288000000
World,OWID_WRL,2010-01-01,313000000
World,OWID_WRL,2011-01-01,325000000
World,OWID_WRL,2012-01-01,338000000
World,OWID_WRL,2013-01-01,352000000
World,OWID_WRL,2014-01-01,367000000
World,OWID_WRL,2015-01-01,381000000
World,OWID_WRL,2016-01-01,400050000
World,OWID_WRL,2017-01-01,420052500
World,OWID_WRL,2018-01-01,441055125
World,OWID_WRL,2019-01-01,459745870